"Image Number"	"ROI"	"Image Layer"	"Total Radiant Efficiency [p/s] / [uW/cm2]"	"Avg Radiant Efficiency [p/s/cm2/sr] / [uW/cm2]"	"Stdev Radiant Efficiency"	"Min Radiant Efficiency"	"Max Radiant Efficiency"	"Area [cm2]"	"EM Filter"	"Analysis Comment"	"Analysis User ID"	"Angle"	"Animal Model"	"Animal Number"	"Animal Strain"	"Area [ccd Pixels]"	"Avg Counts"	"Avg Dark Charge Counts"	"Avg Efficiency"	"Avg Fluorescent Bkg Counts"	"Avg Radiance [p/s/cm2/sr]"	"Binning"	"Bkg ROI"	"Cell Line"	"Comment"	"Comment1"	"Comment2"	"Cosmic Corrected"	"Dark Charge Subtracted"	"Date and Time"	"Display"	"EM Gain"	"EX Filter"	"Experiment"	"Exposure"	"f-Stop"	"Field of View"	"File Name"	"Flat Field Corrected"	"Fluorescence Level"	"Fluorescent Bkg Subtracted"	"Frame Time"	"Group"	"Height [cm]"	"Height [pixels]"	"IACUC Number"	"Image angle"	"Label"	"Label Set"	"Luc Injection Time"	"Max Counts"	"Max Dark Charge Counts"	"Max Efficiency"	"Max Fluorescent Bkg Counts"	"Max Radiance"	"Min Counts"	"Min Dark Charge Counts"	"Min Efficiency"	"Min Fluorescent Bkg Counts"	"Min Radiance"	"Path"	"Reporter"	"ROI Label"	"ROI Pixels"	"Sequence ID"	"Series"	"Sex"	"Shape"	"Stdev Counts"	"Stdev Dark Charge Counts"	"Stdev Efficiency"	"Stdev Fluorescent Bkg Counts"	"Stdev Radiance"	"Subject"	"Subject ID"	"Subject Label"	"Threshold %"	"Time Point"	"Total Counts"	"Total Dark Charge Counts"	"Total Efficiency [cm²]"	"Total Fluorescent Bkg Counts"	"Total Flux [p/s]"	"Treatment"	"User"	"User ID"	"View"	"Width [cm]"	"Width [pixels]"	"Xc [cm]"	"Xc [pixels]"	"Yc [cm]"	"Yc [pixels]"
FRD20171219112015_001	ROI 1	Overlay	3.592e+08	8.347e+06	7.565e+06	-1.537e+05	6.678e+07	3.424e+00	620			-0.0000				2.898e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			1f		true	true	12/19/2017 11:20:37			535	23	2.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.888e-01	8.400e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4528	FRD20171219112015_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.147e+06	N/A	1.147e+06	N/A		FRD	FRD		6.188e-01	1.800e+02	3.679e+00	1.070e+03	3.456e+00	1.005e+03
FRD20171219112015_002	ROI 1	Overlay	9.994e+08	2.323e+07	2.512e+07	-2.627e+06	1.930e+08	3.424e+00	540			-0.0000				2.898e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			1f		true	true	12/19/2017 11:21:11			500	23	0.50	2.00	6.60	N/A	true	High	false		SimmonsLab	2.888e-01	8.400e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4528	FRD20171219112015_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	6.504e+05	N/A	6.504e+05	N/A		FRD	FRD		6.188e-01	1.800e+02	3.679e+00	1.070e+03	3.456e+00	1.005e+03
FRD20171219113702_001	ROI 1	Overlay	7.399e+08	1.597e+07	2.174e+07	1.596e+05	2.617e+08	3.687e+00	620			-0.0000				3.120e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			1b		true	true	12/19/2017 11:37:29			535	23	2.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.853e-01	8.300e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4875	FRD20171219113702_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.362e+06	N/A	2.362e+06	N/A		FRD	FRD		5.981e-01	1.740e+02	3.544e+00	1.031e+03	2.871e+00	8.352e+02
FRD20171219113702_002	ROI 1	Overlay	1.786e+09	3.854e+07	6.039e+07	-1.544e+06	7.296e+08	3.687e+00	540			-0.0000				3.120e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			1b		true	true	12/19/2017 11:37:51			500	23	0.75	2.00	6.60	N/A	true	High	false		SimmonsLab	2.853e-01	8.300e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	4875	FRD20171219113702_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.743e+06	N/A	1.743e+06	N/A		FRD	FRD		5.981e-01	1.740e+02	3.544e+00	1.031e+03	2.871e+00	8.352e+02
FRD20171219114240_001	ROI 1	Overlay	2.108e+08	3.919e+06	6.206e+06	-6.277e+04	6.901e+07	4.281e+00	620			-0.0000				3.623e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			2f		true	true	12/19/2017 11:43:03			535	23	4.00	2.00	6.60	N/A	true	High	false		SimmonsLab	4.056e-01	1.180e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5661	FRD20171219114240_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	1.346e+06	N/A	1.346e+06	N/A		FRD	FRD		5.981e-01	1.740e+02	3.391e+00	9.865e+02	3.084e+00	8.972e+02
FRD20171219114240_002	ROI 1	Overlay	6.188e+08	1.150e+07	1.998e+07	-7.035e+05	2.195e+08	4.281e+00	540			-0.0000				3.623e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			2f		true	true	12/19/2017 11:43:28			500	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	4.056e-01	1.180e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5661	FRD20171219114240_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.416e+06	N/A	2.416e+06	N/A		FRD	FRD		5.981e-01	1.740e+02	3.391e+00	9.865e+02	3.084e+00	8.972e+02
FRD20171219114551_001	ROI 1	Overlay	1.030e+09	2.047e+07	3.376e+07	-8.971e+05	5.129e+08	4.007e+00	620			-0.0000				3.391e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			2b		true	true	12/19/2017 11:46:24			535	23	0.50	2.00	6.60	N/A	true	High	false		SimmonsLab	4.469e-01	1.300e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5298	FRD20171219114551_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	8.224e+05	N/A	8.224e+05	N/A		FRD	FRD		5.603e-01	1.630e+02	3.552e+00	1.033e+03	3.449e+00	1.003e+03
FRD20171219114551_002	ROI 1	Overlay	2.240e+09	4.450e+07	6.860e+07	-1.087e+06	8.739e+08	4.007e+00	540			-0.0000				3.391e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			2b		true	true	12/19/2017 11:46:42			500	23	0.75	2.00	6.60	N/A	true	High	false		SimmonsLab	4.469e-01	1.300e+02		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5298	FRD20171219114551_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	2.187e+06	N/A	2.187e+06	N/A		FRD	FRD		5.603e-01	1.630e+02	3.552e+00	1.033e+03	3.449e+00	1.003e+03
FRD20171219115229_001	ROI 1	Overlay	1.093e+08	2.194e+06	1.942e+06	-1.486e+05	1.167e+07	3.964e+00	620			-0.0000				3.355e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			3f		true	true	12/19/2017 11:52:58			535	23	5.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.681e-01	7.800e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5242	FRD20171219115229_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	8.723e+05	N/A	8.723e+05	N/A		FRD	FRD		6.737e-01	1.960e+02	3.378e+00	9.828e+02	3.213e+00	9.348e+02
FRD20171219115229_002	ROI 1	Overlay	1.798e+08	3.608e+06	3.067e+06	-8.785e+05	2.607e+07	3.964e+00	540			-0.0000				3.355e+05	N/A	N/A	N/A	N/A	N/A	8	_none_			3f		true	true	12/19/2017 11:53:20			500	23	3.00	2.00	6.60	N/A	true	High	false		SimmonsLab	2.681e-01	7.800e+01		0.00		Living Image Universal		N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A		ROI 1	5242	FRD20171219115229_SEQ			Contour	N/A	N/A	N/A	N/A	N/A	_none_			_none_		N/A	7.019e+05	N/A	7.019e+05	N/A		FRD	FRD		6.737e-01	1.960e+02	3.378e+00	9.828e+02	3.213e+00	9.348e+02
