mfc,cycle,cod_mg_L,delta_cod_mg_L,reduction_percent,cycle_duration,delta_cod_mg_L_day,trans_delta_cod_mg_L_day
1,1,36500,5567,0.1323365108041933,7,795.2857142857143,-0.7989170899010435
2,1,31300,10767,0.2559488435115411,7,1538.142857142857,0.642437344427404
3,1,30200,11867,0.2820976061996339,7,1695.2857142857142,0.9473392439968832
4,1,27e3,15067,0.35816673401954024,7,2152.4285714285716,1.8343265881990052
5,1,29300,12767,0.3034920483989826,7,1823.857142857143,1.19680443455373
6,1,31300,10767,0.2559488435115411,7,1538.142857142857,0.642437344427404
7,1,29200,12867,0.30586920864335465,7,1838.142857142857,1.2245227890600463
8,1,28600,13467,0.3201321701095871,7,1923.857142857143,1.390832916097944
9,1,29700,12367,0.29398340742149426,7,1766.7142857142858,1.0859310165284648
10,1,34e3,8067,0.19176551691349514,7,1152.4285714285713,-0.10595822724313628
11,1,29400,12667,0.3011148881546105,7,1809.5714285714287,1.1690860800474139
12,1,35e3,7067,0.1679939144697744,7,1009.5714285714286,-0.3831417723062991
13,1,31500,10567,0.251194523022797,7,1509.5714285714287,0.5870006354147715
14,1,32300,9767,0.2321772410678204,7,1395.2857142857142,0.36525379936424085
15,1,29500,12567,0.29873772791023845,7,1795.2857142857142,1.1413677255410972
1,2,33150,8917,0.21197137899065777,7,1273.857142857143,0.12964778606055252
2,2,31200,10867,0.2583260037559132,7,1552.4285714285713,0.6701556989337201
3,2,35200,6867,0.16323959398103027,7,981,-0.4385784813189317
4,2,26583.333329999998,15483.666670000002,0.3680715684503293,7,2211.9523814285717,1.9498197328992684
5,2,29800,12267,0.2916062471771222,7,1752.4285714285713,1.0582126620221484
6,2,35900,6167,0.14659947227042575,7,881,-0.6326069628631458
7,2,29700,12367,0.29398340742149426,7,1766.7142857142858,1.0859310165284648
8,2,33e3,9067,0.21553711935721587,7,1295.2857142857142,0.17122531782002678
9,2,33700,8367,0.19889699764661137,7,1195.2857142857142,-0.022803163724187323
10,2,31066.666670000002,11000.333329999998,0.2614955506691706,7,1571.4761899999996,0.7071135040181962
11,2,33200,8867,0.21078279886847173,7,1266.7142857142858,0.11578860880739443
12,2,33700,8367,0.19889699764661137,7,1195.2857142857142,-0.022803163724187323
13,2,36e3,6067,0.14422231202605368,7,866.7142857142857,-0.6603253173694622
14,2,34300,7767,0.1846340361803789,7,1109.5714285714287,-0.1891132907620848
15,2,31700,10367,0.24644020253405283,7,1481,0.5315639264021388
1,3,35100,6967,0.16561675422540234,13,535.9230769230769,-1.3021544768687954
2,3,35100,6967,0.16561675422540234,13,535.9230769230769,-1.3021544768687954
3,3,29300,12767,0.3034920483989826,13,982.0769230769231,-0.43648894382537856
4,3,35800,6267,0.1489766325147978,13,482.0769230769231,-1.406631351546449
