mfc,cycle,cod_mg_L,delta_cod_mg_L,reduction_percent,cycle_duration,delta_cod_mg_L_day
1,1,36500,5567,0.1323365108041933,7,795.2857142857143
2,1,31300,10767,0.2559488435115411,7,1538.142857142857
3,1,30200,11867,0.2820976061996339,7,1695.2857142857142
4,1,27e3,15067,0.35816673401954024,7,2152.4285714285716
5,1,29300,12767,0.3034920483989826,7,1823.857142857143
6,1,31300,10767,0.2559488435115411,7,1538.142857142857
7,1,29200,12867,0.30586920864335465,7,1838.142857142857
8,1,28600,13467,0.3201321701095871,7,1923.857142857143
9,1,29700,12367,0.29398340742149426,7,1766.7142857142858
10,1,34e3,8067,0.19176551691349514,7,1152.4285714285713
11,1,29400,12667,0.3011148881546105,7,1809.5714285714287
12,1,35e3,7067,0.1679939144697744,7,1009.5714285714286
13,1,31500,10567,0.251194523022797,7,1509.5714285714287
14,1,32300,9767,0.2321772410678204,7,1395.2857142857142
15,1,29500,12567,0.29873772791023845,7,1795.2857142857142
1,2,33150,8917,0.21197137899065777,7,1273.857142857143
2,2,31200,10867,0.2583260037559132,7,1552.4285714285713
3,2,35200,6867,0.16323959398103027,7,981
4,2,26583.333329999998,15483.666670000002,0.3680715684503293,7,2211.9523814285717
5,2,29800,12267,0.2916062471771222,7,1752.4285714285713
6,2,35900,6167,0.14659947227042575,7,881
7,2,29700,12367,0.29398340742149426,7,1766.7142857142858
8,2,33e3,9067,0.21553711935721587,7,1295.2857142857142
9,2,33700,8367,0.19889699764661137,7,1195.2857142857142
10,2,31066.666670000002,11000.333329999998,0.2614955506691706,7,1571.4761899999996
11,2,33200,8867,0.21078279886847173,7,1266.7142857142858
12,2,33700,8367,0.19889699764661137,7,1195.2857142857142
13,2,36e3,6067,0.14422231202605368,7,866.7142857142857
14,2,34300,7767,0.1846340361803789,7,1109.5714285714287
15,2,31700,10367,0.24644020253405283,7,1481
1,3,35100,6967,0.16561675422540234,13,535.9230769230769
2,3,35100,6967,0.16561675422540234,13,535.9230769230769
3,3,29300,12767,0.3034920483989826,13,982.0769230769231
4,3,35800,6267,0.1489766325147978,13,482.0769230769231
5,3,26400,15667,0.3724296954857727,13,1205.1538461538462
6,3,36100,5967,0.1418451517816816,13,459
7,3,25900,16167,0.38431549670763304,13,1243.6153846153845
8,3,35100,6967,0.16561675422540234,13,535.9230769230769
9,3,34400,7667,0.18225687593600684,13,589.7692307692307
10,3,34200,7867,0.187011196424751,13,605.1538461538462
11,3,28600,13467,0.3201321701095871,13,1035.923076923077
12,3,27100,14967,0.3557895737751682,13,1151.3076923076924
13,3,28100,13967,0.33201797133144745,13,1074.3846153846155
14,3,28700,13367,0.317755009865215,13,1028.2307692307693
15,3,31200,10867,0.2583260037559132,13,835.9230769230769
1,4,40700,1367,0.03249578054056624,12,113.91666666666667
2,4,34400,7667,0.18225687593600684,12,638.9166666666666
3,4,25200,16867,0.40095561841823757,12,1405.5833333333333
4,4,31300,10767,0.2559488435115411,12,897.25
5,4,36200,5867,0.13946799153730954,12,488.9166666666667
6,4,38500,3567,0.08479330591675185,12,297.25
7,4,28900,13167,0.31300068937647085,12,1097.25
8,4,25700,16367,0.38906981719637723,12,1363.9166666666667
9,4,19836.66667,22230.33333,0.5284506461121544,12,1852.5277775000002
10,4,21920,20147,0.47892647443364156,12,1678.9166666666667
11,4,39800,2267,0.053890222739914895,12,188.91666666666666
12,4,34100,7967,0.18938835666912307,12,663.9166666666666
13,4,37900,4167,0.09905626738298429,12,347.25
14,4,40900,1167,0.027741460051822094,12,97.25
15,4,39500,2567,0.06102170347303112,12,213.91666666666666
1,5,23800,18267,0.4342358618394466,14,1304.7857142857142
2,5,21500,20567,0.4889105474600043,14,1469.0714285714287
3,5,17300,24767,0.5887512777236313,14,1769.0714285714287
4,5,24900,17167,0.40808709915135377,14,1226.2142857142858
5,5,26300,15767,0.3748068557301448,14,1126.2142857142858
6,5,20300,21767,0.5174364703924692,14,1554.7857142857142
7,5,20600,21467,0.5103049896593529,14,1533.357142857143
8,5,19100,22967,0.545962393324934,14,1640.5
9,5,22100,19967,0.4746475859937718,14,1426.2142857142858
10,5,20300,21767,0.5174364703924692,14,1554.7857142857142
11,5,18500,23567,0.5602253547911664,14,1683.357142857143
12,5,20800,21267,0.5055506691706088,14,1519.0714285714287
13,5,16500,25567,0.607768559678608,14,1826.2142857142858
14,5,17880,24187,0.5749637483062733,14,1727.642857142857
15,5,22800,19267,0.45800746428316735,14,1376.2142857142858
