Date,Time,time_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9/11/2017,15:32:22,42989.65,0.034,0.057,0.026,0.02,0.038,0.048,0.001,0.027,0.029,0.01,0.013,0.031,0.04,0.014,0.013
9/11/2017,15:52:22,42989.66,0.039,0.061,0.041,0.049,0.043,0.053,0.049,0.057,0.037,0.013,0.016,0.038,0.05,0.027,0.023
9/11/2017,16:12:22,42989.68,0.042,0.063,0.053,0.056,0.045,0.056,0.056,0.067,0.043,0.018,0.022,0.042,0.058,0.031,0.031
9/11/2017,16:32:22,42989.69,0.043,0.063,0.06,0.057,0.046,0.057,0.059,0.07,0.048,0.023,0.027,0.045,0.065,0.033,0.036
9/11/2017,16:52:22,42989.70,0.045,0.064,0.063,0.058,0.047,0.058,0.062,0.07,0.052,0.028,0.032,0.048,0.072,0.035,0.04
9/11/2017,17:12:22,42989.72,0.045,0.064,0.063,0.06,0.049,0.059,0.065,0.07,0.054,0.032,0.037,0.05,0.078,0.038,0.044
9/11/2017,17:32:22,42989.73,0.046,0.064,0.063,0.062,0.05,0.059,0.067,0.068,0.056,0.036,0.04,0.053,0.082,0.041,0.047
9/11/2017,17:52:22,42989.74,0.047,0.064,0.061,0.064,0.051,0.059,0.069,0.067,0.056,0.038,0.042,0.054,0.084,0.043,0.05
9/11/2017,18:12:22,42989.76,0.047,0.063,0.06,0.065,0.053,0.06,0.071,0.066,0.057,0.041,0.044,0.056,0.085,0.045,0.052
9/11/2017,18:32:22,42989.77,0.048,0.063,0.058,0.067,0.054,0.06,0.072,0.065,0.057,0.043,0.045,0.058,0.087,0.046,0.054
9/11/2017,18:52:22,42989.79,0.048,0.063,0.057,0.068,0.055,0.06,0.074,0.063,0.059,0.045,0.046,0.06,0.087,0.047,0.056
9/11/2017,19:12:22,42989.80,0.049,0.063,0.056,0.07,0.056,0.06,0.075,0.062,0.059,0.046,0.046,0.061,0.085,0.048,0.057
9/11/2017,19:32:22,42989.81,0.049,0.063,0.054,0.07,0.057,0.06,0.076,0.061,0.06,0.048,0.046,0.062,0.084,0.049,0.059
9/11/2017,19:52:22,42989.83,0.049,0.062,0.053,0.07,0.058,0.06,0.077,0.06,0.06,0.048,0.046,0.063,0.082,0.051,0.06
9/11/2017,20:12:22,42989.84,0.049,0.062,0.053,0.07,0.059,0.06,0.078,0.059,0.061,0.048,0.046,0.064,0.081,0.051,0.06
9/11/2017,20:32:22,42989.86,0.05,0.062,0.052,0.07,0.06,0.06,0.078,0.057,0.061,0.048,0.046,0.065,0.079,0.052,0.062
9/11/2017,20:52:22,42989.87,0.05,0.062,0.051,0.07,0.06,0.06,0.078,0.056,0.062,0.048,0.045,0.065,0.078,0.053,0.062
9/11/2017,21:12:22,42989.88,0.051,0.062,0.051,0.07,0.06,0.06,0.079,0.054,0.062,0.048,0.045,0.065,0.078,0.053,0.063
9/11/2017,21:32:22,42989.90,0.051,0.061,0.051,0.07,0.061,0.059,0.079,0.054,0.063,0.048,0.044,0.066,0.077,0.054,0.063
9/11/2017,21:52:22,42989.91,0.051,0.061,0.051,0.069,0.062,0.059,0.079,0.053,0.064,0.049,0.043,0.066,0.076,0.054,0.064
9/11/2017,22:12:22,42989.93,0.051,0.061,0.051,0.068,0.062,0.059,0.08,0.051,0.065,0.049,0.043,0.066,0.076,0.055,0.065
9/11/2017,22:32:22,42989.94,0.051,0.061,0.051,0.068,0.062,0.059,0.08,0.051,0.065,0.049,0.043,0.067,0.074,0.056,0.065
9/11/2017,22:52:22,42989.95,0.051,0.061,0.051,0.068,0.063,0.059,0.081,0.049,0.067,0.049,0.043,0.067,0.074,0.056,0.065
9/11/2017,23:12:22,42989.97,0.052,0.06,0.051,0.067,0.063,0.059,0.08,0.049,0.068,0.049,0.043,0.067,0.074,0.056,0.065
9/11/2017,23:32:22,42989.98,0.052,0.06,0.051,0.067,0.063,0.059,0.081,0.048,0.068,0.05,0.044,0.067,0.073,0.056,0.065
9/11/2017,23:52:22,42989.99,0.052,0.06,0.051,0.066,0.063,0.059,0.081,0.047,0.07,0.051,0.044,0.067,0.073,0.057,0.066
9/12/2017,0:12:22,42990.01,0.052,0.06,0.052,0.065,0.064,0.058,0.08,0.046,0.07,0.051,0.044,0.067,0.073,0.057,0.066
9/12/2017,0:32:22,42990.02,0.052,0.06,0.052,0.065,0.064,0.058,0.08,0.046,0.071,0.051,0.044,0.066,0.072,0.057,0.066
9/12/2017,0:52:22,42990.04,0.052,0.06,0.053,0.065,0.064,0.058,0.08,0.045,0.072,0.051,0.045,0.066,0.072,0.057,0.067
9/12/2017,1:12:22,42990.05,0.052,0.06,0.053,0.063,0.065,0.057,0.079,0.045,0.073,0.052,0.044,0.066,0.071,0.057,0.067
9/12/2017,1:32:22,42990.06,0.052,0.06,0.053,0.062,0.065,0.057,0.079,0.044,0.074,0.052,0.044,0.065,0.071,0.057,0.067
9/12/2017,1:52:22,42990.08,0.052,0.06,0.053,0.061,0.065,0.057,0.079,0.043,0.075,0.053,0.044,0.065,0.071,0.057,0.067
9/12/2017,2:12:22,42990.09,0.053,0.06,0.053,0.06,0.065,0.057,0.079,0.043,0.077,0.053,0.044,0.065,0.071,0.057,0.067
9/12/2017,2:32:22,42990.11,0.053,0.059,0.054,0.06,0.065,0.057,0.078,0.043,0.077,0.053,0.044,0.065,0.071,0.057,0.067
9/12/2017,2:52:22,42990.12,0.053,0.059,0.054,0.059,0.065,0.057,0.078,0.043,0.078,0.053,0.044,0.065,0.07,0.057,0.067
9/12/2017,3:12:22,42990.13,0.053,0.059,0.054,0.059,0.065,0.057,0.078,0.043,0.078,0.053,0.043,0.064,0.07,0.057,0.067
9/12/2017,3:32:22,42990.15,0.053,0.059,0.054,0.059,0.065,0.057,0.078,0.043,0.079,0.054,0.043,0.064,0.07,0.057,0.067
9/12/2017,3:52:22,42990.16,0.053,0.059,0.054,0.058,0.065,0.057,0.077,0.043,0.08,0.054,0.043,0.063,0.07,0.057,0.067
9/12/2017,4:12:22,42990.18,0.053,0.059,0.055,0.058,0.065,0.056,0.076,0.043,0.079,0.054,0.043,0.063,0.07,0.057,0.067
9/12/2017,4:32:22,42990.19,0.053,0.059,0.055,0.057,0.065,0.056,0.076,0.043,0.08,0.055,0.043,0.063,0.07,0.057,0.067
9/12/2017,4:52:22,42990.20,0.053,0.059,0.055,0.057,0.065,0.056,0.076,0.042,0.08,0.056,0.043,0.063,0.07,0.057,0.067
9/12/2017,5:12:22,42990.22,0.053,0.059,0.056,0.057,0.065,0.056,0.076,0.042,0.081,0.056,0.043,0.063,0.07,0.057,0.067
9/12/2017,5:32:22,42990.23,0.053,0.059,0.056,0.057,0.065,0.056,0.075,0.042,0.081,0.056,0.043,0.063,0.07,0.057,0.067
9/12/2017,5:52:22,42990.24,0.053,0.059,0.056,0.057,0.065,0.056,0.075,0.042,0.081,0.057,0.043,0.062,0.07,0.057,0.067
9/12/2017,6:12:22,42990.26,0.053,0.059,0.056,0.056,0.065,0.056,0.074,0.042,0.082,0.057,0.042,0.062,0.07,0.057,0.067
9/12/2017,6:32:22,42990.27,0.053,0.059,0.056,0.056,0.065,0.056,0.074,0.042,0.081,0.057,0.043,0.062,0.069,0.057,0.067
9/12/2017,6:52:22,42990.29,0.053,0.059,0.056,0.056,0.065,0.056,0.074,0.042,0.081,0.057,0.042,0.062,0.068,0.057,0.067
9/12/2017,7:12:22,42990.30,0.053,0.059,0.056,0.056,0.065,0.056,0.074,0.042,0.082,0.058,0.042,0.062,0.068,0.057,0.067
9/12/2017,7:32:22,42990.31,0.053,0.059,0.056,0.056,0.065,0.056,0.073,0.042,0.082,0.058,0.042,0.061,0.067,0.057,0.067
9/12/2017,7:52:22,42990.33,0.053,0.058,0.056,0.055,0.065,0.055,0.073,0.042,0.082,0.059,0.043,0.061,0.067,0.057,0.067
9/12/2017,8:12:22,42990.34,0.053,0.058,0.056,0.055,0.065,0.055,0.073,0.042,0.082,0.059,0.042,0.061,0.066,0.057,0.068
9/12/2017,8:32:22,42990.36,0.053,0.058,0.056,0.055,0.065,0.055,0.073,0.041,0.082,0.06,0.042,0.061,0.066,0.057,0.068
9/12/2017,8:52:22,42990.37,0.053,0.058,0.056,0.054,0.065,0.055,0.073,0.041,0.083,0.06,0.042,0.061,0.065,0.057,0.068
9/12/2017,9:12:22,42990.38,0.053,0.058,0.056,0.054,0.066,0.055,0.073,0.041,0.084,0.061,0.043,0.062,0.065,0.057,0.068
9/12/2017,9:32:22,42990.40,0.054,0.058,0.056,0.054,0.066,0.055,0.073,0.04,0.084,0.061,0.042,0.062,0.064,0.057,0.069
9/12/2017,9:52:22,42990.41,0.054,0.058,0.056,0.053,0.066,0.054,0.073,0.04,0.084,0.062,0.042,0.062,0.064,0.057,0.069
9/12/2017,10:12:22,42990.43,0.054,0.057,0.056,0.053,0.066,0.054,0.073,0.04,0.083,0.062,0.042,0.062,0.063,0.057,0.069
9/12/2017,10:32:22,42990.44,0.054,0.057,0.056,0.052,0.066,0.054,0.073,0.04,0.083,0.062,0.042,0.062,0.063,0.057,0.069
9/12/2017,10:52:22,42990.45,0.054,0.057,0.057,0.051,0.066,0.054,0.073,0.04,0.083,0.062,0.042,0.062,0.063,0.057,0.069
9/12/2017,11:12:22,42990.47,0.054,0.057,0.057,0.051,0.066,0.055,0.073,0.04,0.084,0.062,0.042,0.062,0.063,0.057,0.07
9/12/2017,11:32:22,42990.48,0.054,0.057,0.057,0.049,0.066,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.063,0.057,0.07
9/12/2017,11:52:22,42990.49,0.054,0.057,0.057,0.048,0.067,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.062,0.057,0.07
9/12/2017,12:12:22,42990.51,0.054,0.057,0.057,0.047,0.066,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.062,0.057,0.07
9/12/2017,12:32:22,42990.52,0.054,0.057,0.057,0.046,0.067,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.062,0.058,0.07
9/12/2017,12:52:22,42990.54,0.054,0.057,0.057,0.046,0.067,0.054,0.073,0.041,0.084,0.062,0.042,0.062,0.061,0.057,0.07
