Image_Number,ROI,Image_Layer,Total_Radiant_Efficiency_[p/s]_/_[uW/cm2],Avg_Radiant_Efficiency_[p/s/cm2/sr]_/_[uW/cm2],Stdev_Radiant_Efficiency,Min_Radiant_Efficiency,Max_Radiant_Efficiency,Area_[cm2],EM_Filter,Angle,Area_[ccd_Pixels],Binning,Bkg_ROI,Comment1,Cosmic_Corrected,Dark_Charge_Subtracted,Date_and_Time,EX_Filter,Experiment,Exposure,f-Stop,Field_of_View,Flat_Field_Corrected,Fluorescence_Level,Fluorescent_Bkg_Subtracted,Group,Height_[cm],Height_[pixels],Image_angle,Label_Set,ROI_Label,ROI_Pixels,Sequence_ID,Shape,Subject,Threshold_%,Total_Dark_Charge_Counts,Total_Fluorescent_Bkg_Counts,User,User_ID,Width_[cm],Width_[pixels],Xc_[cm],Xc_[pixels],Yc_[cm],Yc_[pixels]
FRD20171219112015_001,ROI 1,Overlay,3592e5,8347e3,7565e3,-153700,6678e4,3.424,620,-0,289800,8,_none_,1f,true,true,12/19/2017 11:20:37,535,23,2,2,6.6,true,High,false,SimmonsLab,0.2888,84,0,Living Image Universal,ROI 1,4528,FRD20171219112015_SEQ,Contour,_none_,_none_,1147e3,1147e3,FRD,FRD,0.6188,180,3.679,1070,3.456,1005
FRD20171219112015_002,ROI 1,Overlay,9994e5,2323e4,2512e4,-2627e3,193e6,3.424,540,-0,289800,8,_none_,1f,true,true,12/19/2017 11:21:11,500,23,0.5,2,6.6,true,High,false,SimmonsLab,0.2888,84,0,Living Image Universal,ROI 1,4528,FRD20171219112015_SEQ,Contour,_none_,_none_,650400,650400,FRD,FRD,0.6188,180,3.679,1070,3.456,1005
FRD20171219113702_001,ROI 1,Overlay,7399e5,1597e4,2174e4,159600,2617e5,3.687,620,-0,312e3,8,_none_,1b,true,true,12/19/2017 11:37:29,535,23,2,2,6.6,true,High,false,SimmonsLab,0.2853,83,0,Living Image Universal,ROI 1,4875,FRD20171219113702_SEQ,Contour,_none_,_none_,2362e3,2362e3,FRD,FRD,0.5981,174,3.544,1031,2.871,835.2
FRD20171219113702_002,ROI 1,Overlay,1786e6,3854e4,6039e4,-1544e3,7296e5,3.687,540,-0,312e3,8,_none_,1b,true,true,12/19/2017 11:37:51,500,23,0.75,2,6.6,true,High,false,SimmonsLab,0.2853,83,0,Living Image Universal,ROI 1,4875,FRD20171219113702_SEQ,Contour,_none_,_none_,1743e3,1743e3,FRD,FRD,0.5981,174,3.544,1031,2.871,835.2
FRD20171219114240_001,ROI 1,Overlay,2108e5,3919e3,6206e3,-62770,6901e4,4.281,620,-0,362300,8,_none_,2f,true,true,12/19/2017 11:43:03,535,23,4,2,6.6,true,High,false,SimmonsLab,0.4056,118,0,Living Image Universal,ROI 1,5661,FRD20171219114240_SEQ,Contour,_none_,_none_,1346e3,1346e3,FRD,FRD,0.5981,174,3.391,986.5,3.084,897.2
FRD20171219114240_002,ROI 1,Overlay,6188e5,115e5,1998e4,-703500,2195e5,4.281,540,-0,362300,8,_none_,2f,true,true,12/19/2017 11:43:28,500,23,3,2,6.6,true,High,false,SimmonsLab,0.4056,118,0,Living Image Universal,ROI 1,5661,FRD20171219114240_SEQ,Contour,_none_,_none_,2416e3,2416e3,FRD,FRD,0.5981,174,3.391,986.5,3.084,897.2
FRD20171219114551_001,ROI 1,Overlay,103e7,2047e4,3376e4,-897100,5129e5,4.007,620,-0,339100,8,_none_,2b,true,true,12/19/2017 11:46:24,535,23,0.5,2,6.6,true,High,false,SimmonsLab,0.4469,130,0,Living Image Universal,ROI 1,5298,FRD20171219114551_SEQ,Contour,_none_,_none_,822400,822400,FRD,FRD,0.5603,163,3.552,1033,3.449,1003
FRD20171219114551_002,ROI 1,Overlay,224e7,445e5,686e5,-1087e3,8739e5,4.007,540,-0,339100,8,_none_,2b,true,true,12/19/2017 11:46:42,500,23,0.75,2,6.6,true,High,false,SimmonsLab,0.4469,130,0,Living Image Universal,ROI 1,5298,FRD20171219114551_SEQ,Contour,_none_,_none_,2187e3,2187e3,FRD,FRD,0.5603,163,3.552,1033,3.449,1003
FRD20171219115229_001,ROI 1,Overlay,1093e5,2194e3,1942e3,-148600,1167e4,3.964,620,-0,335500,8,_none_,3f,true,true,12/19/2017 11:52:58,535,23,5,2,6.6,true,High,false,SimmonsLab,0.2681,78,0,Living Image Universal,ROI 1,5242,FRD20171219115229_SEQ,Contour,_none_,_none_,872300,872300,FRD,FRD,0.6737,196,3.378,982.8,3.213,934.8
FRD20171219115229_002,ROI 1,Overlay,1798e5,3608e3,3067e3,-878500,2607e4,3.964,540,-0,335500,8,_none_,3f,true,true,12/19/2017 11:53:20,500,23,3,2,6.6,true,High,false,SimmonsLab,0.2681,78,0,Living Image Universal,ROI 1,5242,FRD20171219115229_SEQ,Contour,_none_,_none_,701900,701900,FRD,FRD,0.6737,196,3.378,982.8,3.213,934.8
FRD20171219115713_001,ROI 1,Overlay,159e6,2788e3,2435e3,-74010,2248e4,4.537,620,-0,384e3,8,_none_,3b,true,true,12/19/2017 11:57:38,535,23,7,2,6.6,true,High,false,SimmonsLab,0.3472,101,0,Living Image Universal,ROI 1,6000,FRD20171219115713_SEQ,Contour,_none_,_none_,1776e3,1776e3,FRD,FRD,0.6325,184,3.095,900.4,3.019,878.2
FRD20171219115713_002,ROI 1,Overlay,2932e5,5142e3,4737e3,-670100,3997e4,4.537,540,-0,384e3,8,_none_,3b,true,true,12/19/2017 11:58:03,500,23,7,2,6.6,true,High,false,SimmonsLab,0.3472,101,0,Living Image Universal,ROI 1,6000,FRD20171219115713_SEQ,Contour,_none_,_none_,2672e3,2672e3,FRD,FRD,0.6325,184,3.095,900.4,3.019,878.2
FRD20171219120224_001,ROI 1,Overlay,1145e5,2196e3,2488e3,-94080,1951e4,4.149,620,-0,351100,8,_none_,4f,true,true,12/19/2017 12:02:50,535,23,5,2,6.6,true,High,false,SimmonsLab,0.2956,86,0,Living Image Universal,ROI 1,5486,FRD20171219120224_SEQ,Contour,_none_,_none_,913800,913800,FRD,FRD,0.6497,189,3.323,966.7,3.674,1069
FRD20171219120224_002,ROI 1,Overlay,2237e5,4291e3,6179e3,-1037e3,8476e4,4.149,540,-0,351100,8,_none_,4f,true,true,12/19/2017 12:03:22,500,23,3,2,6.6,true,High,false,SimmonsLab,0.2956,86,0,Living Image Universal,ROI 1,5486,FRD20171219120224_SEQ,Contour,_none_,_none_,873500,873500,FRD,FRD,0.6497,189,3.323,966.7,3.674,1069
FRD20171219120625_001,ROI 1,Overlay,2272e5,4397e3,3485e3,-89840,497e5,4.112,620,-0,348e3,8,_none_,4b,true,true,12/19/2017 12:06:51,535,23,6,2,6.6,true,High,false,SimmonsLab,0.2956,86,0,Living Image Universal,ROI 1,5438,FRD20171219120625_SEQ,Contour,_none_,_none_,2176e3,2176e3,FRD,FRD,0.6428,187,3.63,1056,3.605,1049
FRD20171219120625_002,ROI 1,Overlay,4272e5,8267e3,7738e3,-288800,9546e4,4.112,540,-0,348e3,8,_none_,4b,true,true,12/19/2017 12:07:26,500,23,6,2,6.6,true,High,false,SimmonsLab,0.2956,86,0,Living Image Universal,ROI 1,5438,FRD20171219120625_SEQ,Contour,_none_,_none_,3337e3,3337e3,FRD,FRD,0.6428,187,3.63,1056,3.605,1049
FRD20171219121138_001,ROI 1,Overlay,639e5,1112e3,149e4,-157400,2202e4,4.575,620,-0,387100,8,_none_,5f,true,true,12/19/2017 12:12:06,535,23,8,2,6.6,true,High,false,SimmonsLab,0.3266,95,0,Living Image Universal,ROI 1,6049,FRD20171219121138_SEQ,Contour,_none_,_none_,816e3,816e3,FRD,FRD,0.6222,181,2.757,802,3.47,1010
FRD20171219121138_002,ROI 1,Overlay,1486e5,2585e3,4171e3,-1104e3,7736e4,4.575,540,-0,387100,8,_none_,5f,true,true,12/19/2017 12:12:31,500,23,3,2,6.6,true,High,false,SimmonsLab,0.3266,95,0,Living Image Universal,ROI 1,6049,FRD20171219121138_SEQ,Contour,_none_,_none_,580300,580300,FRD,FRD,0.6222,181,2.757,802,3.47,1010
FRD20171219121556_001,ROI 1,Overlay,1436e5,2496e3,2659e3,13200,2737e4,4.58,620,-0,387600,8,_none_,5b,true,true,12/19/2017 12:16:23,535,23,9,2,6.6,true,High,false,SimmonsLab,0.3369,98,0,Living Image Universal,ROI 1,6056,FRD20171219121556_SEQ,Contour,_none_,_none_,2064e3,2064e3,FRD,FRD,0.6634,193,3.423,995.8,3.397,988.2
FRD20171219121556_002,ROI 1,Overlay,3223e5,56e5,6836e3,-503300,672e5,4.58,540,-0,387600,8,_none_,5b,true,true,12/19/2017 12:17:03,500,23,8,2,6.6,true,High,false,SimmonsLab,0.3369,98,0,Living Image Universal,ROI 1,6056,FRD20171219121556_SEQ,Contour,_none_,_none_,3356e3,3356e3,FRD,FRD,0.6634,193,3.423,995.8,3.397,988.2
FRD20171219122130_001,ROI 1,Overlay,1532e5,3293e3,4101e3,-102200,3541e4,3.703,620,-0,313400,8,_none_,6f,true,true,12/19/2017 12:21:57,535,23,7,2,6.6,true,High,false,SimmonsLab,0.2922,85,0,Living Image Universal,ROI 1,4897,FRD20171219122130_SEQ,Contour,_none_,_none_,1712e3,1712e3,FRD,FRD,0.6084,177,3.591,1045,3.825,1113
FRD20171219122130_002,ROI 1,Overlay,7279e5,1564e4,2383e4,-764800,242e6,3.703,540,-0,313400,8,_none_,6f,true,true,12/19/2017 12:22:31,500,23,3,2,6.6,true,High,false,SimmonsLab,0.2922,85,0,Living Image Universal,ROI 1,4897,FRD20171219122130_SEQ,Contour,_none_,_none_,2842e3,2842e3,FRD,FRD,0.6084,177,3.591,1045,3.825,1113
FRD20171219122522_001,ROI 1,Overlay,3425e5,7498e3,1424e4,-881e3,1346e5,3.635,620,-0,307600,8,_none_,6b,true,true,12/19/2017 12:25:58,535,23,2,2,6.6,true,High,false,SimmonsLab,0.3059,89,0,Living Image Universal,ROI 1,4806,FRD20171219122522_SEQ,Contour,_none_,_none_,1093e3,1093e3,FRD,FRD,0.5809,169,3.192,928.6,3.559,1035
FRD20171219122522_002,ROI 1,Overlay,1505e6,3295e4,6791e4,-3289e3,9176e5,3.635,540,-0,307600,8,_none_,6b,true,true,12/19/2017 12:26:44,500,23,0.5,2,6.6,true,High,false,SimmonsLab,0.3059,89,0,Living Image Universal,ROI 1,4806,FRD20171219122522_SEQ,Contour,_none_,_none_,979500,979500,FRD,FRD,0.5809,169,3.192,928.6,3.559,1035
FRD20171219123123_001,ROI 1,Overlay,927e5,163e4,3705e3,-2663e4,3625e4,4.525,620,-0,382900,8,_none_,7f,true,true,12/19/2017 12:31:52,535,23,5,2,6.6,true,High,false,SimmonsLab,0.3472,101,0,Living Image Universal,ROI 1,5983,FRD20171219123123_SEQ,Contour,_none_,_none_,739900,739900,FRD,FRD,0.6497,189,3.245,944,3.41,992
FRD20171219123123_002,ROI 1,Overlay,3038e5,5342e3,1401e4,-9487e4,1745e5,4.525,540,-0,382900,8,_none_,7f,true,true,12/19/2017 12:33:13,500,23,3,2,6.6,true,High,false,SimmonsLab,0.3472,101,0,Living Image Universal,ROI 1,5983,FRD20171219123123_SEQ,Contour,_none_,_none_,1186e3,1186e3,FRD,FRD,0.6497,189,3.245,944,3.41,992
FRD20171219123621_001,ROI 1,Overlay,4141e5,7276e3,1436e4,-132300,1427e5,4.529,620,-0,383300,8,_none_,7b,true,true,12/19/2017 12:36:58,535,23,3,2,6.6,true,High,false,SimmonsLab,0.3369,98,0,Living Image Universal,ROI 1,5989,FRD20171219123621_SEQ,Contour,_none_,_none_,1983e3,1983e3,FRD,FRD,0.6359,185,3.203,931.8,3.41,992
FRD20171219123621_002,ROI 1,Overlay,1251e6,2197e4,4492e4,-1117e3,4006e5,4.529,540,-0,383300,8,_none_,7b,true,true,12/19/2017 12:37:50,500,23,2,2,6.6,true,High,false,SimmonsLab,0.3369,98,0,Living Image Universal,ROI 1,5989,FRD20171219123621_SEQ,Contour,_none_,_none_,3256e3,3256e3,FRD,FRD,0.6359,185,3.203,931.8,3.41,992
FRD20171219124149_001,ROI 1,Overlay,4057e4,937300,1082e3,-121500,6421e3,3.445,620,-0,291500,8,_none_,8f,true,true,12/19/2017 12:42:38,535,23,10,2,6.6,true,High,false,SimmonsLab,0.2853,83,0,Living Image Universal,ROI 1,4555,FRD20171219124149_SEQ,Contour,_none_,_none_,647600,647600,FRD,FRD,0.5809,169,3.238,941.8,3.313,963.6
FRD20171219124149_002,ROI 1,Overlay,7772e4,1795e3,2598e3,-921300,2201e4,3.445,540,-0,291500,8,_none_,8f,true,true,12/19/2017 12:43:36,500,23,7,2,6.6,true,High,false,SimmonsLab,0.2853,83,0,Living Image Universal,ROI 1,4555,FRD20171219124149_SEQ,Contour,_none_,_none_,708100,708100,FRD,FRD,0.5809,169,3.238,941.8,3.313,963.6
FRD20171219124629_001,ROI 1,Overlay,5975e4,1432e3,861500,419400,9656e3,3.321,620,-0,281e3,8,_none_,8b,true,true,12/19/2017 12:46:52,535,23,9,2,6.6,true,High,false,SimmonsLab,0.275,80,0,Living Image Universal,ROI 1,4391,FRD20171219124629_SEQ,Contour,_none_,_none_,858400,858400,FRD,FRD,0.5672,165,3.121,908,3.345,973.1
FRD20171219124629_002,ROI 1,Overlay,6883e4,1649e3,1824e3,-530800,1808e4,3.321,540,-0,281e3,8,_none_,8b,true,true,12/19/2017 12:47:31,500,23,9,2,6.6,true,High,false,SimmonsLab,0.275,80,0,Living Image Universal,ROI 1,4391,FRD20171219124629_SEQ,Contour,_none_,_none_,806300,806300,FRD,FRD,0.5672,165,3.121,908,3.345,973.1
FRD20171219125245_001,ROI 1,Overlay,3948e4,766100,12e5,-261400,653e4,4.101,620,-0,347100,8,_none_,9f,true,true,12/19/2017 12:53:13,535,23,4,2,6.6,true,High,false,SimmonsLab,0.3059,89,0,Living Image Universal,ROI 1,5423,FRD20171219125245_SEQ,Contour,_none_,_none_,252100,252100,FRD,FRD,0.5947,173,3.475,1011,3.019,878.3
