Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7/31/2017,14:32:22,0.005,0.014,0.031,0.042,0.02,0.018,0.02,0.038,0.027,0.01,0.028,0.02,0.038,0.016,0.021,0
7/31/2017,14:52:22,0.005,0.014,0.031,0.042,0.02,0.018,0.02,0.038,0.027,0.01,0.027,0.02,0.037,0.016,0.021,0
7/31/2017,15:12:22,0.005,0.013,0.028,0.038,0.019,0.018,0.019,0.038,0.025,0.01,0.026,0.018,0.029,0.016,0.02,0
7/31/2017,15:32:22,0.005,0.013,0.025,0.035,0.019,0.018,0.019,0.037,0.026,0.009,0.026,0.017,0.03,0.015,0.02,0
7/31/2017,15:52:22,0.004,0.013,0.022,0.032,0.019,0.018,0.019,0.035,0.026,0.009,0.026,0.017,0.031,0.015,0.02,0
7/31/2017,16:12:22,0.004,0.012,0.02,0.029,0.02,0.018,0.02,0.033,0.026,0.009,0.026,0.017,0.032,0.015,0.02,0
7/31/2017,16:32:22,0.004,0.012,0.018,0.026,0.02,0.017,0.02,0.03,0.026,0.009,0.026,0.018,0.032,0.016,0.021,0
7/31/2017,16:52:22,0.004,0.012,0.016,0.024,0.02,0.017,0.021,0.027,0.026,0.009,0.026,0.018,0.032,0.016,0.021,0
7/31/2017,17:12:22,0.004,0.012,0.015,0.022,0.021,0.016,0.021,0.024,0.025,0.008,0.025,0.018,0.032,0.016,0.022,0.001
7/31/2017,17:32:22,0.004,0.012,0.013,0.02,0.021,0.016,0.023,0.023,0.024,0.008,0.024,0.018,0.031,0.016,0.023,0
7/31/2017,17:52:22,0.004,0.012,0.013,0.018,0.022,0.016,0.023,0.021,0.024,0.008,0.024,0.018,0.03,0.016,0.023,0
7/31/2017,18:12:22,0.003,0.012,0.012,0.017,0.023,0.016,0.024,0.02,0.023,0.007,0.024,0.019,0.029,0.016,0.023,0
7/31/2017,18:32:22,0.003,0.011,0.01,0.016,0.023,0.016,0.024,0.018,0.022,0.007,0.023,0.019,0.028,0.017,0.024,0
7/31/2017,18:52:22,0.003,0.011,0.01,0.015,0.023,0.016,0.024,0.016,0.021,0.007,0.023,0.019,0.028,0.017,0.023,0
7/31/2017,19:12:22,0.003,0.01,0.009,0.014,0.022,0.015,0.024,0.015,0.021,0.007,0.023,0.019,0.028,0.016,0.023,0
7/31/2017,19:32:22,0.003,0.01,0.009,0.013,0.022,0.015,0.024,0.015,0.021,0.007,0.021,0.018,0.027,0.016,0.023,0
7/31/2017,19:52:22,0.003,0.01,0.008,0.012,0.021,0.015,0.024,0.013,0.02,0.007,0.021,0.018,0.027,0.015,0.023,0
7/31/2017,20:12:22,0.003,0.01,0.007,0.012,0.021,0.014,0.023,0.013,0.02,0.006,0.02,0.018,0.027,0.015,0.022,0
7/31/2017,20:32:22,0.002,0.009,0.007,0.011,0.021,0.014,0.023,0.012,0.019,0.006,0.02,0.017,0.026,0.015,0.021,0
7/31/2017,20:52:22,0.002,0.009,0.007,0.011,0.02,0.013,0.023,0.012,0.018,0.005,0.019,0.016,0.026,0.014,0.021,0
7/31/2017,21:12:22,0.002,0.009,0.006,0.011,0.02,0.013,0.023,0.011,0.018,0.005,0.018,0.016,0.024,0.014,0.021,0
7/31/2017,21:32:22,0.002,0.009,0.006,0.012,0.02,0.013,0.022,0.01,0.017,0.005,0.018,0.016,0.024,0.013,0.02,0
7/31/2017,21:52:22,0.002,0.009,0.006,0.012,0.02,0.013,0.022,0.01,0.016,0.005,0.017,0.015,0.023,0.013,0.02,0
7/31/2017,22:12:22,0.002,0.009,0.005,0.014,0.019,0.013,0.021,0.01,0.016,0.005,0.016,0.015,0.023,0.013,0.02,0
7/31/2017,22:32:22,0.002,0.008,0.005,0.016,0.019,0.012,0.021,0.01,0.015,0.004,0.016,0.015,0.023,0.013,0.02,0
7/31/2017,22:52:22,0.002,0.008,0.006,0.018,0.019,0.012,0.021,0.011,0.015,0.004,0.016,0.015,0.022,0.012,0.019,0
7/31/2017,23:12:22,0.002,0.008,0.006,0.021,0.019,0.012,0.021,0.012,0.015,0.004,0.015,0.015,0.022,0.012,0.019,0
7/31/2017,23:32:22,0.002,0.007,0.007,0.023,0.018,0.012,0.02,0.013,0.014,0.004,0.015,0.014,0.021,0.012,0.018,0
7/31/2017,23:52:22,0.002,0.007,0.008,0.024,0.018,0.012,0.02,0.014,0.013,0.004,0.015,0.014,0.021,0.012,0.018,0
8/1/2017,0:12:22,0.002,0.007,0.009,0.024,0.018,0.012,0.02,0.015,0.013,0.004,0.014,0.014,0.02,0.011,0.018,0
8/1/2017,0:32:22,0.002,0.007,0.009,0.024,0.018,0.012,0.019,0.017,0.013,0.004,0.014,0.013,0.02,0.011,0.018,0
8/1/2017,0:52:22,0.002,0.007,0.01,0.024,0.018,0.012,0.018,0.018,0.012,0.004,0.013,0.013,0.019,0.011,0.017,0
8/1/2017,1:12:22,0.002,0.007,0.01,0.026,0.017,0.012,0.018,0.02,0.012,0.004,0.013,0.013,0.018,0.01,0.017,0
8/1/2017,1:32:22,0.002,0.007,0.01,0.025,0.017,0.011,0.018,0.021,0.012,0.004,0.013,0.013,0.018,0.01,0.017,0
8/1/2017,1:52:22,0.002,0.007,0.01,0.025,0.017,0.011,0.018,0.021,0.012,0.004,0.013,0.013,0.018,0.01,0.016,0
